,Province_NL,Arrondissement_NL,Arrondissement_FR,Municipality,Province,Province_FR,Province_DE,C_NIS5,Commune_NL,Commune_FR,Commune_DE,StatistischeSector_code_Secteurstatistique,Sector_NL,Sector_FR,Sector_DE,C_NIS6
22,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A05-,GEVANGENIS (SPAANSE WALLEN),GEVANGENIS (SPAANSE WALLEN),GEVANGENIS (SPAANSE WALLEN),11002A
23,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A081,SCHELDEKADEN NOORD,SCHELDEKADEN NOORD,SCHELDEKADEN NOORD,11002A
24,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A10-,MEIR - LEYSSTRAAT (SP. WALLEN),MEIR - LEYSSTRAAT (SP. WALLEN),MEIR - LEYSSTRAAT (SP. WALLEN),11002A
25,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A11-,KIPDORP-ST.-JACOBS (SP.WALLEN),KIPDORP-ST.-JACOBS (SP.WALLEN),KIPDORP-ST.-JACOBS (SP.WALLEN),11002A
26,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A12-,K.N.S.-NAT. BANK (SP. WALLEN),K.N.S.-NAT. BANK (SP. WALLEN),K.N.S.-NAT. BANK (SP. WALLEN),11002A
27,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A13-,STADSWAAG-BEGIJNHOF(SP.WALLEN),STADSWAAG-BEGIJNHOF(SP.WALLEN),STADSWAAG-BEGIJNHOF(SP.WALLEN),11002A
28,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A14-,TABAKSVEST (SPAANSE WALLEN),TABAKSVEST (SPAANSE WALLEN),TABAKSVEST (SPAANSE WALLEN),11002A
29,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A15-,HESSENHUIS (SPAANSE WALLEN),HESSENHUIS (SPAANSE WALLEN),HESSENHUIS (SPAANSE WALLEN),11002A
30,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A21-,ST.-ANDRIES (SPAANSE WALLEN),ST.-ANDRIES (SPAANSE WALLEN),ST.-ANDRIES (SPAANSE WALLEN),11002A
31,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A22-,ST.-MICHIELSKAAI (SP. WALLEN),ST.-MICHIELSKAAI (SP. WALLEN),ST.-MICHIELSKAAI (SP. WALLEN),11002A
32,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002B701,LINKEROEVER-ZUID (LINKEROEVER),LINKEROEVER-ZUID (LINKEROEVER),LINKEROEVER-ZUID (LINKEROEVER),11002B
33,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002B71-,LINKEROEVER - STATION,LINKEROEVER - STATION,LINKEROEVER - STATION,11002B
34,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002B721,LINKEROEVER-NOORD,LINKEROEVER-NOORD,LINKEROEVER-NOORD,11002B
35,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002B73-,ST.-ANNA (LINKEROEVER),ST.-ANNA (LINKEROEVER),ST.-ANNA (LINKEROEVER),11002B
36,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002B742,THOENETLAAN (LINKEROEVER),THOENETLAAN (LINKEROEVER),THOENETLAAN (LINKEROEVER),11002B
37,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002B752,GLORIANTLAAN (LINKEROEVER),GLORIANTLAAN (LINKEROEVER),GLORIANTLAAN (LINKEROEVER),11002B
38,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002B782,GALGEWEEL (LINKEROEVER),GALGEWEEL (LINKEROEVER),GALGEWEEL (LINKEROEVER),11002B
39,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002B791,ST.-ANNABOS (LINKEROEVER ),ST.-ANNABOS (LINKEROEVER ),ST.-ANNABOS (LINKEROEVER ),11002B
40,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002B813,BLANCEFLOERLAAN  (LINKEROEVER),BLANCEFLOERLAAN  (LINKEROEVER),BLANCEFLOERLAAN  (LINKEROEVER),11002B
41,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002B824,CHARLES DE COSTERLAAN(L.OEVER),CHARLES DE COSTERLAAN(L.OEVER),CHARLES DE COSTERLAAN(L.OEVER),11002B
42,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C20-,STATIEKWARTIER (STATIONSWIJK),STATIEKWARTIER (STATIONSWIJK),STATIEKWARTIER (STATIONSWIJK),11002C
43,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C21-,ATHENEUM (STATIONSWIJK),ATHENEUM (STATIONSWIJK),ATHENEUM (STATIONSWIJK),11002C
44,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C22-,DE CONINCPLEIN-Z.(STATIONSW.),DE CONINCPLEIN-Z.(STATIONSW.),DE CONINCPLEIN-Z.(STATIONSW.),11002C
45,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C23-,OFFERANDESTRAAT(STATIONSWIJK ),OFFERANDESTRAAT(STATIONSWIJK ),OFFERANDESTRAAT(STATIONSWIJK ),11002C
46,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C24-,PROVINCIESTRAAT(STATIONSWIJK ),PROVINCIESTRAAT(STATIONSWIJK ),PROVINCIESTRAAT(STATIONSWIJK ),11002C
47,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C25-,PELIKAANSTRAAT (STATIONSWIJK ),PELIKAANSTRAAT (STATIONSWIJK ),PELIKAANSTRAAT (STATIONSWIJK ),11002C
48,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C28-,STATION - ZOO (STATIONSWIJK ),STATION - ZOO (STATIONSWIJK ),STATION - ZOO (STATIONSWIJK ),11002C
49,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C29-,STADSPARK (STATIONSWIJK ),STADSPARK (STATIONSWIJK ),STADSPARK (STATIONSWIJK ),11002C
50,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C31-,JEZUITENCOLLEGE(STATIONSWIJK ),JEZUITENCOLLEGE(STATIONSWIJK ),JEZUITENCOLLEGE(STATIONSWIJK ),11002C
51,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C41-,DAMBRUGGESTRAAT-N.(STATIONSW.),DAMBRUGGESTRAAT-N.(STATIONSW.),DAMBRUGGESTRAAT-N.(STATIONSW.),11002C
52,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C42-,DE ZAVEL (NOORDWIJK ),DE ZAVEL (NOORDWIJK ),DE ZAVEL (NOORDWIJK ),11002C
53,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C43-,ST.-WILLEBRORDUS (NOORDWIJK ),ST.-WILLEBRORDUS (NOORDWIJK ),ST.-WILLEBRORDUS (NOORDWIJK ),11002C
54,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C44-,POTGIETERSTRAAT (NOORDWIJK),POTGIETERSTRAAT (NOORDWIJK),POTGIETERSTRAAT (NOORDWIJK),11002C
55,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C45-,STUIVENBERG ZIEKENHUIS(NOORDW),STUIVENBERG ZIEKENHUIS(NOORDW),STUIVENBERG ZIEKENHUIS(NOORDW),11002C
56,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002C491,SCHIJNPOORT (DAM-SCHIJNPOORT ),SCHIJNPOORT (DAM-SCHIJNPOORT ),SCHIJNPOORT (DAM-SCHIJNPOORT ),11002C
57,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002D30-,CHARLOTTALEI (OOSTWIJK),CHARLOTTALEI (OOSTWIJK),CHARLOTTALEI (OOSTWIJK),11002D
58,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002D31-,ASTRID BAD (OOSTWIJK),ASTRID BAD (OOSTWIJK),ASTRID BAD (OOSTWIJK),11002D
59,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002D32-,ST.-VINCENTIUS (OOSTWIJK),ST.-VINCENTIUS (OOSTWIJK),ST.-VINCENTIUS (OOSTWIJK),11002D
60,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002D33-,STADSPARK-ZUID (OOSTWIJK),STADSPARK-ZUID (OOSTWIJK),STADSPARK-ZUID (OOSTWIJK),11002D
61,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002D34-,DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK),DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK),DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK),11002D
62,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002D35-,VAN DIEPENBEECKSTR. (OOSTWIJK),VAN DIEPENBEECKSTR. (OOSTWIJK),VAN DIEPENBEECKSTR. (OOSTWIJK),11002D
63,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002D38-,GAS (OOSTWIJK),GAS (OOSTWIJK),GAS (OOSTWIJK),11002D
64,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002D41-,STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK),STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK),STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK),11002D
65,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002D42-,LAMORINIERESTR.-ZUID (EBES) (OOSTWIJK),LAMORINIERESTR.-ZUID (EBES) (OOSTWIJK),LAMORINIERESTR.-ZUID (EBES) (OOSTWIJK),11002D
66,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002E122,WAALSE KAAI (ZUIDWIJK),WAALSE KAAI (ZUIDWIJK),WAALSE KAAI (ZUIDWIJK),11002E
67,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002E131,VLAAMSE KAAI (ZUIDWIJK),VLAAMSE KAAI (ZUIDWIJK),VLAAMSE KAAI (ZUIDWIJK),11002E
68,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002E14-,MUSEUMWIJK (ZUIDWIJK),MUSEUMWIJK (ZUIDWIJK),MUSEUMWIJK (ZUIDWIJK),11002E
69,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002E15-,GERECHTSHOF (ZUIDWIJK),GERECHTSHOF (ZUIDWIJK),GERECHTSHOF (ZUIDWIJK),11002E
70,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002E19-,OUDE SCHIPPERSDOKKEN(ZUIDWIJK),OUDE SCHIPPERSDOKKEN(ZUIDWIJK),OUDE SCHIPPERSDOKKEN(ZUIDWIJK),11002E
71,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002E50-,BELL (ZUIDWIJK),BELL (ZUIDWIJK),BELL (ZUIDWIJK),11002E
72,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002E521,LANGE ELZENSTRAAT (ZUIDWIJK),LANGE ELZENSTRAAT (ZUIDWIJK),LANGE ELZENSTRAAT (ZUIDWIJK),11002E
73,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002E53-,TROONPLAATS (ZUIDWIJK),TROONPLAATS (ZUIDWIJK),TROONPLAATS (ZUIDWIJK),11002E
74,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002E551,GERECHTSHOF (ZUIDWIJK),GERECHTSHOF (ZUIDWIJK),GERECHTSHOF (ZUIDWIJK),11002E
75,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002E5MJ,SPAGHETTIKNOOP (KIEL),SPAGHETTIKNOOP (KIEL),SPAGHETTIKNOOP (KIEL),11002E
76,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002F11-,ST.-CATHARINA (KIEL),ST.-CATHARINA (KIEL),ST.-CATHARINA (KIEL),11002F
77,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002F12-,MAURITS SABBELAAN (KIEL),MAURITS SABBELAAN (KIEL),MAURITS SABBELAAN (KIEL),11002F
78,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002F21-,KOLONIELAAN (CAM. HUYSMANSL.),KOLONIELAAN (CAM. HUYSMANSL.),KOLONIELAAN (CAM. HUYSMANSL.),11002F
79,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002F223,VOLHARDINGSSTRAAT (KIEL),VOLHARDINGSSTRAAT (KIEL),VOLHARDINGSSTRAAT (KIEL),11002F
80,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002F60-,KIEL - CENTRUM (KIEL),KIEL - CENTRUM (KIEL),KIEL - CENTRUM (KIEL),11002F
81,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002F61-,BOOMSE STWG-BEERSCHOT (KIEL),BOOMSE STWG-BEERSCHOT (KIEL),BOOMSE STWG-BEERSCHOT (KIEL),11002F
82,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002F62-,BEERSCHOT - STADION (KIEL),BEERSCHOT - STADION (KIEL),BEERSCHOT - STADION (KIEL),11002F
83,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002F64-,JAN DE VOSLEI (KIEL),JAN DE VOSLEI (KIEL),JAN DE VOSLEI (KIEL),11002F
84,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002F65-,PIUS X (KIEL),PIUS X (KIEL),PIUS X (KIEL),11002F
85,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002F6MJ,PETROLEUM - SCHELDEKADEN-Z.,PETROLEUM - SCHELDEKADEN-Z.,PETROLEUM - SCHELDEKADEN-Z.,11002F
86,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002F6NJ,KIELSE POLDER (KIEL),KIELSE POLDER (KIEL),KIELSE POLDER (KIEL),11002F
87,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002G51-,ST.-LAURENTIUS (ZUIDWIJK),ST.-LAURENTIUS (ZUIDWIJK),ST.-LAURENTIUS (ZUIDWIJK),11002G
88,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002G522,FRANSEN PLAATS (ZUIDWIJK),FRANSEN PLAATS (ZUIDWIJK),FRANSEN PLAATS (ZUIDWIJK),11002G
89,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002G53-,HARMONIE (ZUIDWIJK),HARMONIE (ZUIDWIJK),HARMONIE (ZUIDWIJK),11002G
90,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002G54-,KAREL OOMSTRAAT,KAREL OOMSTRAAT,KAREL OOMSTRAAT,11002G
91,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002G552,C. TEICHMANN PLAATS (ZUIDWIJK),C. TEICHMANN PLAATS (ZUIDWIJK),C. TEICHMANN PLAATS (ZUIDWIJK),11002G
92,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002G59-,ALBERTPARK (OOSTWIJK),ALBERTPARK (OOSTWIJK),ALBERTPARK (OOSTWIJK),11002G
93,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002G72-,WILRIJKSPL.-W. (WILRIJKSPLEIN),WILRIJKSPL.-W. (WILRIJKSPLEIN),WILRIJKSPL.-W. (WILRIJKSPLEIN),11002G
94,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002G73-,BLOKKEN-KRUISHOFSTR. (WILR.PL),BLOKKEN-KRUISHOFSTR. (WILR.PL),BLOKKEN-KRUISHOFSTR. (WILR.PL),11002G
95,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002G74-,DEN BRANDT (WILRIJKSPLEIN),DEN BRANDT (WILRIJKSPLEIN),DEN BRANDT (WILRIJKSPLEIN),11002G
96,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002G75-,OOSTERVELD (WILRIJKSPEIN),OOSTERVELD (WILRIJKSPEIN),OOSTERVELD (WILRIJKSPEIN),11002G
97,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002G780,NACHTEGALENPARK(WILRIJKSPLEIN),NACHTEGALENPARK(WILRIJKSPLEIN),NACHTEGALENPARK(WILRIJKSPLEIN),11002G
98,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002H40-,ST.-AMANDUS (NOORDWIJK),ST.-AMANDUS (NOORDWIJK),ST.-AMANDUS (NOORDWIJK),11002H
99,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002H41-,STUIVENBERG-WEST,STUIVENBERG-WEST,STUIVENBERG-WEST,11002H
