file,text,file_name,line_name,word_name,id
1_10_06,celechens .,1,10,6,1_10_6
1_10_07,1 slang1 8,1,10,7,1_10_7
1_10_08,homoeer .,1,10,8,1_10_8
1_10_09,out-strip .,1,10,9,1_10_9
1_10_10,agogeo,1,10,10,1_10_10
1_10_11,askie .,1,10,11,1_10_11
1_10_12,65gogs,1,10,12,1_10_12
1_10_13,ydd .,1,10,13,1_10_13
1_10_14,1neving,1,10,14,1_10_14
1_11_01,401,1,11,1,1_11_1
1_11_02,s.,1,11,2,1_11_2
1_11_03,Bounty .,1,11,3,1_11_3
1_11_04,flucesrei .,1,11,4,1_11_4
1_11_05,provinciality .,1,11,5,1_11_5
1_11_06,play-exercise .,1,11,6,1_11_6
1_11_07,Boeley,1,11,7,1_11_7
1_11_08,laboureis .,1,11,8,1_11_8
1_11_09,d,1,11,9,1_11_9
1_11_10,jellies .,1,11,10,1_11_10
1_11_11,exempting,1,11,11,1_11_11
1_11_12,grey of,1,11,12,1_11_12
1_11_13,1g.,1,11,13,1_11_13
1_11_14,in,1,11,14,1_11_14
1_11_15,26 Foley,1,11,15,1_11_15
1_11_16,nonfeasibility .,1,11,16,1_11_16
1_12_01,reverests .,1,12,1,1_12_1
1_12_02,ls,1,12,2,1_12_2
1_12_03,treybrid,1,12,3,1_12_3
1_12_04,mis-reasingles,1,12,4,1_12_4
1_12_05,eazy,1,12,5,1_12_5
1_12_06,ferenceist .,1,12,6,1_12_6
1_13_01,40.,1,13,1,1_13_1
1_13_02,equales after,1,13,2,1_13_2
1_13_03,godark,1,13,3,1_13_3
1_13_04,renelope,1,13,4,1_13_4
1_13_05,preskilled,1,13,5,1_13_5
1_13_06,12 April,1,13,6,1_13_6
1_13_07,alaccessum .,1,13,7,1_13_7
1_13_08,lgecotane .,1,13,8,1_13_8
1_13_09,spussy,1,13,9,1_13_9
1_13_10,impaffopy,1,13,10,1_13_10
1_13_11,signier .,1,13,11,1_13_11
1_13_12,ppfido,1,13,12,1_13_12
1_13_13,"12.000 ,",1,13,13,1_13_13
1_13_14,14 assilized,1,13,14,1_13_14
1_13_15,82.,1,13,15,1_13_15
