file,text,file_name,line_name,word_name,id
1_10_13,,1,10,13,1_10_13
1_10_14,919 auz,1,10,14,1_10_14
1_11_01,4o|,1,11,1,1_11_1
1_11_02,>,1,11,2,1_11_2
1_11_03,3owy,1,11,3,1_11_3
1_11_04,ôBorz,1,11,4,1_11_4
1_11_05,4 a2lld B(rzn,1,11,5,1_11_5
1_11_06,kejas;s 4q0 9,1,11,6,1_11_6
1_11_07,Boal),1,11,7,1_11_7
1_11_08,~YBazl,1,11,8,1_11_8
1_11_09,,1,11,9,1_11_9
1_11_10,[e2uz,1,11,10,1_11_10
1_11_11,2244,1,11,11,1_11_11
1_11_12,22{,1,11,12,1_11_12
1_11_13,,1,11,13,1_11_13
1_11_14,,1,11,14,1_11_14
1_11_15,26 28031],1,11,15,1_11_15
1_11_16,kamrbla Hlor,1,11,16,1_11_16
1_12_01,Jucta,1,12,1,1_12_1
1_12_02,€,1,12,2,1_12_2
1_12_03,dué,1,12,3,1_12_3
1_12_04,72ueD02 bza,1,12,4,1_12_4
1_12_05,4919,1,12,5,1_12_5
1_12_06,dexevæc,1,12,6,1_12_6
1_13_01,40x,1,13,1,1_13_1
1_13_02,{ualu '98,1,13,2,1_13_2
1_13_03,Bodark,1,13,3,1_13_3
1_13_04,Genebol,1,13,4,1_13_4
1_13_05,Raùn {UPpud,1,13,5,1_13_5
1_13_06,Y1m8 (914,1,13,6,1_13_6
1_13_07,[Ybamn,1,13,7,1_13_7
1_13_08,P|é fave,1,13,8,1_13_8
1_13_09,nx3x,1,13,9,1_13_9
1_13_10,795H,1,13,10,1_13_10
1_13_11,59 < 72,1,13,11,1_13_11
1_13_12,,1,13,12,1_13_12
1_13_13,2 m2ae '919,1,13,13,1_13_13
1_13_14,{4 apsiluqu,1,13,14,1_13_14
1_13_15,8a,1,13,15,1_13_15
